Image,Filter,ExecutionTime,MemoryUsage,SSIM,PSNR
"COCO_test2014_000000000014.jpg",Gaussian,10458,3.12115e+06,0.666496,21.1163
"COCO_test2014_000000000014.jpg",Median,23684,978944,0.708954,21.3404
"COCO_test2014_000000000014.jpg",Sobel,9317,1.51142e+06,-1,-1
"COCO_test2014_000000000016.jpg",Gaussian,3316,0,0.685802,26.51
"COCO_test2014_000000000016.jpg",Median,23765,925696,0.727795,27.3583
"COCO_test2014_000000000016.jpg",Sobel,8752,946176,-1,-1
"COCO_test2014_000000000027.jpg",Gaussian,3355,0,0.721194,21.195
"COCO_test2014_000000000027.jpg",Median,24841,0,0.737445,21.3337
"COCO_test2014_000000000027.jpg",Sobel,8113,1.2288e+06,-1,-1
"COCO_test2014_000000000080.jpg",Gaussian,2856,0,0.644972,25.1757
"COCO_test2014_000000000080.jpg",Median,20219,0,0.658262,25.3764
"COCO_test2014_000000000080.jpg",Sobel,8355,548864,-1,-1
"COCO_test2014_000000000083.jpg",Gaussian,2649,0,0.896479,34.9286
"COCO_test2014_000000000083.jpg",Median,23779,0,0.907347,37.6776
"COCO_test2014_000000000083.jpg",Sobel,8388,327680,-1,-1
"COCO_test2014_000000000090.jpg",Gaussian,2847,0,0.60543,24.9372
"COCO_test2014_000000000090.jpg",Median,20320,0,0.578945,24.5504
"COCO_test2014_000000000090.jpg",Sobel,7774,831488,-1,-1
"COCO_test2014_000000000106.jpg",Gaussian,3113,0,0.648077,21.9348
"COCO_test2014_000000000106.jpg",Median,20199,0,0.693953,22.4972
"COCO_test2014_000000000106.jpg",Sobel,7484,0,-1,-1
"COCO_test2014_000000000128.jpg",Gaussian,3903,0,0.65187,25.6612
"COCO_test2014_000000000128.jpg",Median,24047,942080,0.665902,26.0028
"COCO_test2014_000000000128.jpg",Sobel,8418,319488,-1,-1
"COCO_test2014_000000000171.jpg",Gaussian,2448,0,0.941232,29.0409
"COCO_test2014_000000000171.jpg",Median,15670,0,0.95065,28.7784
"COCO_test2014_000000000171.jpg",Sobel,6025,4096,-1,-1
"COCO_test2014_000000000178.jpg",Gaussian,4788,0,0.740423,28.1123
"COCO_test2014_000000000178.jpg",Median,22558,0,0.751683,28.4149
"COCO_test2014_000000000178.jpg",Sobel,8617,1.24109e+06,-1,-1
"COCO_test2014_000000000180.jpg",Gaussian,5619,0,0.439128,20.012
"COCO_test2014_000000000180.jpg",Median,20215,0,0.439341,19.8982
"COCO_test2014_000000000180.jpg",Sobel,7480,823296,-1,-1
"COCO_test2014_000000000184.jpg",Gaussian,4155,987136,0.720218,23.0561
"COCO_test2014_000000000184.jpg",Median,24523,987136,0.750725,23.85
"COCO_test2014_000000000184.jpg",Sobel,8890,0,-1,-1
"COCO_test2014_000000000191.jpg",Gaussian,2896,0,0.89315,26.4125
"COCO_test2014_000000000191.jpg",Median,20118,0,0.921262,28.0569
"COCO_test2014_000000000191.jpg",Sobel,7326,274432,-1,-1
"COCO_test2014_000000000212.jpg",Gaussian,2830,0,0.743289,24.9271
"COCO_test2014_000000000212.jpg",Median,18094,0,0.743857,25.1406
"COCO_test2014_000000000212.jpg",Sobel,6616,0,-1,-1
"COCO_test2014_000000000219.jpg",Gaussian,3419,0,0.733484,22.3748
"COCO_test2014_000000000219.jpg",Median,23148,0,0.730479,22.2343
"COCO_test2014_000000000219.jpg",Sobel,8152,622592,-1,-1
"COCO_test2014_000000000245.jpg",Gaussian,3701,1.2329e+06,0.776007,25.7039
"COCO_test2014_000000000245.jpg",Median,30871,1.2329e+06,0.802761,26.8554
"COCO_test2014_000000000245.jpg",Sobel,10964,0,-1,-1
"COCO_test2014_000000000275.jpg",Gaussian,2632,0,0.604849,23.6626
"COCO_test2014_000000000275.jpg",Median,20171,0,0.596051,23.3695
"COCO_test2014_000000000275.jpg",Sobel,7329,0,-1,-1
"COCO_test2014_000000000276.jpg",Gaussian,3510,0,0.843041,26.4092
"COCO_test2014_000000000276.jpg",Median,22414,0,0.86122,27.3999
"COCO_test2014_000000000276.jpg",Sobel,8260,0,-1,-1
"COCO_test2014_000000000461.jpg",Gaussian,3765,0,0.737824,26.5183
"COCO_test2014_000000000461.jpg",Median,23089,933888,0.749439,28.7308
"COCO_test2014_000000000461.jpg",Sobel,8434,0,-1,-1
"COCO_test2014_000000000568.jpg",Gaussian,3238,0,0.716093,20.9158
"COCO_test2014_000000000568.jpg",Median,19872,0,0.764563,23.5306
"COCO_test2014_000000000568.jpg",Sobel,7603,274432,-1,-1
"COCO_test2014_000000000660.jpg",Gaussian,2765,0,0.836027,29.2668
"COCO_test2014_000000000660.jpg",Median,20210,0,0.852864,30.7326
"COCO_test2014_000000000660.jpg",Sobel,7248,0,-1,-1
"COCO_test2014_000000000665.jpg",Gaussian,1329,0,0.676137,23.5804
"COCO_test2014_000000000665.jpg"